Source-CPFAnchor-ID	SNAC-CPFAnchor-ID	Role	ArcRole	Source-CPFTarget-ID	SNAC-CPFTarget-ID
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r017	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r018	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r019	
nypl2019.24618.c01		person	associatedWith	nypl2019.24618.r020	
nypl2019.24618.c01		corporateBody	associatedWith	nypl2019.24618.r021	
nypl2019.24618.r001		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r002		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r003		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r004		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r005		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r006		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r007		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r008		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r009		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r010		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r011		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r012		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r013		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r014		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r015		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r016		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r017		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r018		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r019		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r020		person	associatedWith	nypl2019.24618.c01	
nypl2019.24618.r021		person	associatedWith	nypl2019.24618.c01	
nypl2019.26967.c01		corporateBody	associatedWith	nypl2019.26967.r001	
nypl2019.26967.r001		person	associatedWith	nypl2019.26967.c01	
nypl2019.24592.c01		person	associatedWith	nypl2019.24592.r001	
nypl2019.24592.c01		corporateBody	associatedWith	nypl2019.24592.r002	
nypl2019.24592.r001		person	associatedWith	nypl2019.24592.c01	
nypl2019.24592.r002		person	associatedWith	nypl2019.24592.c01	
nypl2019.29934.c01		person	associatedWith	nypl2019.29934.r001	
